learnum_pods,num_clients,avg_speed,cpu_m,mem_Mi,net_rx_KBps,net_tx_KBps,avg_latency_s,z1_bit,z2_bit,z3_bit,qt_sw_z1,qt_sw_z2,qt_sw_z3,total_stall,start_time,QoE
6,18,70,18,25,24,977,0.04906475001870878,76232815.92515215,4988406837.491728,32803897295.019863,1.0,1.0,1.0,12.87486038888889,5.605555555555555e-05,4331434011.785798
6,18,80,26,25,25,1446,0.047523570255088916,63504348.947607785,4552979893.743504,27091461668.63441,1.0,1.0,1.0,11.355895,0.00010438888888888892,3664195140.0446706
6,18,90,0,25,0,0,0.04568859313674366,38239590.99240777,3413579416.6362476,22761940677.303154,1.0,1.0,1.0,9.8213235,5.7888888888888885e-05,2985677621.5203114
6,18,100,0,0,0,0,0.0385712652905126,57051333.01207999,4570729249.159984,27704699311.13475,1.0,1.0,1.0,7.245160166666665,7.333333333333333e-05,3724551681.8994236
6,18,110,0,25,0,0,0.04522263939552604,37567364.5381095,3835323486.310743,19569839037.54932,1.0,1.0,1.0,8.204956222222222,0.00019350000000000001,2750345719.9116135
6,18,120,0,25,0,0,0.04552952856090668,42415978.12505372,3084836070.0500383,18248820104.600964,1.0,1.0,1.0,6.981638277777778,7.599999999999998e-05,2471540378.13627
6,19,10,63,25,50,1998,0.0447177422539926,369762238.5819877,33918994509.077824,214944704983.7319,1.0,1.0,1.0,78.53126057894737,5.5105263157894735e-05,28537102628.51149
6,19,20,64,25,45,1666,0.04353458936853674,217221409.66216323,18012195726.486248,112836102309.4828,1.0,1.0,1.0,38.702656315789476,0.000104,15038104195.587177
6,19,30,41,25,43,2095,0.04794253070676804,123221183.41128734,10599950944.569843,62105942803.55365,1.0,1.0,1.0,28.153345526315785,0.00014178947368421053,8416839175.597239
6,19,40,69,25,43,1987,0.04787323915521258,105957323.61183947,8160088718.651105,48858327714.1909,1.0,1.0,1.0,21.319395473684207,0.00025473684210526316,6592020549.003105
6,19,50,88,25,42,2266,0.049292333813644895,120392724.29173675,6257313922.482541,40041707230.50873,1.0,1.0,1.0,17.492850421052633,0.0002407894736842105,5339908338.331305
6,19,60,39,25,0,0,0.04692725569248285,67915833.80170815,6951514378.87431,40215091300.87324,1.0,1.0,1.0,14.150646210526316,6.93157894736842e-05,5459353027.675305
6,19,70,41,25,0,0,0.05080535635154015,97020624.03967108,5096468436.254062,30238435016.181377,1.0,1.0,1.0,13.755003263157894,0.00014642105263157896,4111051565.5495768
6,19,80,0,25,0,0,0.045935892520098685,70495389.2959289,3939258657.498,25879422470.61189,1.0,1.0,1.0,10.812529315789472,0.00014578947368421054,3425140703.5734367
6,19,90,0,25,0,0,0.04772016967655882,47976360.58432374,3646180905.837648,24385096565.690495,1.0,1.0,1.0,10.26613652631579,0.0001353157894736842,3201329245.000637
6,19,100,0,25,0,0,0.05783060265828834,54673820.07548695,2941017306.4683166,17925395615.53713,1.0,1.0,1.0,9.811386210526315,0.00020257894736842104,2419014653.710386
6,19,110,0,24,0,0,0.043503941377314816,57190622.507297695,3268022981.798791,19468689458.981762,1.0,1.0,1.0,7.5389568421052635,5.7263157894736853e-05,2640506944.595282
6,19,120,0,24,0,0,0.05224391874723108,51361737.5854299,3607959249.650435,17852140404.33567,1.0,1.0,1.0,7.846560684210527,0.00012968421052631578,2542759071.9326873
6,20,10,47,25,49,1883,0.04787642221324305,399723688.34730506,31428848544.51415,199150073790.32324,1.0,1.0,1.0,82.24364030000001,5.774999999999999e-05,26480583315.130367
6,20,20,67,25,46,1948,0.049790228494790985,213341826.06351495,16129221295.83965,91311328084.7632,1.0,1.0,1.0,42.84259515000001,6.959999999999998e-05,12506316160.665249
6,20,30,51,25,43,2027,0.04876506663886006,128241755.16247971,9950624489.836369,64921894395.2834,1.0,1.0,1.0,28.393693600000006,6.65e-05,8572083443.01618
6,20,40,70,25,31,1399,0.04687684563143819,101833117.3619488,7589203564.108632,47713045025.72263,1.0,1.0,1.0,21.1455354,0.00021394999999999994,6360428305.620631
6,20,50,53,25,33,1520,0.04973348455121108,118136592.78304426,6826552956.828172,39639672505.7331,1.0,1.0,1.0,17.473143600000004,0.00014185,5411973380.751947
6,20,60,26,25,14,422,0.053523636896328254,85004391.05987576,5867041558.142448,31681749874.66266,1.0,1.0,1.0,15.839689450000003,5.8750000000000005e-05,4401086303.725752
6,20,70,0,25,0,0,0.05056648958970139,98186367.89163944,4859151208.118379,30393661912.342243,1.0,1.0,1.0,13.049166250000003,6.089999999999998e-05,4079926833.2703714
6,20,80,0,25,0,0,0.04791187862495287,70384579.09268965,3689406441.4149604,26486253492.779305,1.0,1.0,1.0,10.51169625,0.0002297,3435775796.7245255
6,20,90,0,25,0,0,0.0463472515212016,42196576.818235494,3427172516.490542,21292050832.811146,1.0,1.0,1.0,9.531816949999998,7.135e-05,2844177148.364868
6,20,100,0,25,0,0,0.04891955996791692,49060086.123848096,3509507232.6679254,21639788027.815834,1.0,1.0,1.0,9.3137156,0.0001008,2900222268.552452
6,20,110,0,25,0,0,0.057266310443234436,36227481.439393595,2574720283.1883526,17167931128.714605,1.0,1.0,1.0,8.907579800000002,0.00020920000000000004,2257096367.213214
6,20,120,0,25,0,0,0.05015564707382607,83379121.2276204,3473751348.1978745,22944865064.795013,1.0,1.0,1.0,7.95886915,0.00010855000000000001,3047602125.7548065
7,1,10,13,7,6,231,0.008511175104166668,1601604186.999118,103290776149.59917,614464186245.0769,1.0,1.0,1.0,0.0,5.6e-05,83225696784.32668
